id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
580216523307583057,"Logan Circle 1BR w/ Gym, W/D & Pool, nr bars",107434423,Blueground,,"Shaw, Logan Circle",38.90603,-77.03018,Entire home/apt,260,32,0,,,221,0,0,
589049807707578914,2 Bedroom Townhouse with Free Secure Parking,277679553,Christopher,,"Capitol Hill, Lincoln Park",38.87739944362713,-76.98599435244749,Entire home/apt,212,1,6,2023-03-06,3.60,1,14,6,Hosted License: 5007242201001935
589074430016866602,Prime Location Studio In-Law Suite,362858420,Jordi,,"Shaw, Logan Circle",38.9075,-77.02652,Entire home/apt,103,1,28,2023-03-11,3.78,2,127,28,Hosted License: 5007242201001778
589313185676696923,Private Apartment with Double Queen Bedroom,25654521,Jake,,"Brightwood Park, Crestwood, Petworth",38.94459,-77.02062,Entire home/apt,138,2,41,2023-03-13,3.45,1,67,41,Hosted License: 5007242201000416
589324634937376860,**Travelers Jr Queen Suite 15mins downtown Metro**,446615875,Gamaliel,,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",38.89458,-76.91561,Private room,42,2,12,2023-02-23,1.01,9,232,12,Exempt
589339007262718238,**Travelers Jr Suite 15mins dwntwn Metro/parking**,446615875,Gamaliel,,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",38.89595,-76.91379,Private room,42,2,9,2022-11-01,0.78,9,231,9,Exempt
580216880773467493,"Logan Circle 1BR w/ Gym, W/D & Pool, nr bars",107434423,Blueground,,"Shaw, Logan Circle",38.90658,-77.03251,Entire home/apt,160,32,0,,,221,330,0,
580219630193180283,"Eastern Mkt 2BR w/ W/D & Rooftop, nr TJ & Metro",107434423,Blueground,,"Capitol Hill, Lincoln Park",38.88333160000001,-76.9920387,Entire home/apt,277,32,1,2022-06-03,0.10,221,0,1,
580267401769312007,"Beautiful, central located 2-bedroom basement flat",96470695,Emilio,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.921,-77.01293,Entire home/apt,191,3,19,2022-12-30,2.39,1,176,19,Hosted License: 5007242201001181
580378577607853975,Show Glow,76625968,Latrease,,"Capitol View, Marshall Heights, Benning Heights",38.8782,-76.9437,Entire home/apt,132,1,35,2023-03-16,4.65,2,46,35,Hosted License: 5007242201002158
580379638076900630,Sojourn | Penthouse | Private Outdoor Space | Free Parking,39930655,Team,,"Dupont Circle, Connecticut Avenue/K Street",38.90705,-77.04237,Entire home/apt,221,181,0,,,173,353,0,
580391693708134004,"Historic DC home - zoo, park,  metro and shops.",26296287,Mj,,"North Cleveland Park, Forest Hills, Van Ness",38.94033,-77.06034,Entire home/apt,400,14,1,2022-08-28,0.15,2,185,1,Hosted License: 5007242201000391
589352530833770575,**Luxury King w/ bath 15mins dwntwn Metro/parkng**,446615875,Gamaliel,,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",38.8966,-76.91413,Private room,55,2,34,2023-03-09,2.96,9,232,34,Exempt
589632141941753456,An amazing 2br/2bth apartment in the heart of DC,106768004,Harry,,"Shaw, Logan Circle",38.91409,-77.02985,Entire home/apt,315,2,21,2022-10-30,1.76,3,73,21,Exempt
53957479,Washingtonian Designer Studio Only Steps from The,289259344,Douglas,,"Dupont Circle, Connecticut Avenue/K Street",38.90451,-77.03642,Entire home/apt,138,2,94,2023-03-11,6.38,20,211,78,Exempt
589648305935209663,Queen size lovely private room private bathroom,304917572,Jaliylah,,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.86637,-76.98235,Private room,89,2,6,2023-03-11,0.52,2,352,6,Hosted License: 5661275798007819
589685662479861218,Large Master Suite w/ Balcony by Metro/Park,34583501,Mariya,,"Sheridan, Barry Farm, Buena Vista",38.85986,-76.98769,Private room,50,31,2,2023-01-23,0.33,10,322,2,
589687744729213812,Perfect for Long Stays in Comfort near Metro,34583501,Mariya,,"Sheridan, Barry Farm, Buena Vista",38.85885,-76.98799,Private room,38,31,0,,,10,365,0,
589689803357938452,Private Bedroom with Balcony by Park and Metro,34583501,Mariya,,"Sheridan, Barry Farm, Buena Vista",38.86044,-76.98869,Private room,45,31,1,2022-08-27,0.15,10,365,1,
581175127911488503,Light-filled 3 bedroom in heart of Dupont Circle,3806067,David,,"Dupont Circle, Connecticut Avenue/K Street",38.91258,-77.0421,Entire home/apt,395,2,31,2023-03-02,3.08,4,302,31,"Hosted License: 5007242201001433
Unhosted License: 5007262201001434"
